Transaction Date & Time,Tm_Ref_No,Detailed Description,Credit,Debit,Balance
2024-01-15 09:30:00,TXN001,Salary Payment from ABC Company,"5,000,000.00",0,"5,000,000.00"
2024-01-15 10:45:00,TXN002,Bill Payment - Internet Broadband,0,"50,000.00","4,950,000.00"
2024-01-15 14:20:00,TXN003,Transfer to Ko Aung,"200,000.00",0,"5,150,000.00"
2024-01-16 08:00:00,TXN004,P2P Transfer from Ma Su,"150,000.00",0,"5,300,000.00"
2024-01-16 11:30:00,TXN005,Purchase at City Mart,0,"75,500.00","5,224,500.00"
2024-01-16 16:45:00,TXN006,Mobile Top-up,0,"10,000.00","5,214,500.00"
2024-01-17 09:15:00,TXN007,Binance P2P Purchase USDT,0,"500,000.00","4,714,500.00"
2024-01-17 12:00:00,TXN008,Restaurant Payment - Golden Palace,0,"35,000.00","4,679,500.00"
2024-01-17 18:30:00,TXN009,Grab Taxi,0,"8,500.00","4,671,000.00"
2024-01-18 10:00:00,TXN010,Bill Payment - Satellite Internet,0,"45,000.00","4,626,000.00"
2024-01-18 14:30:00,TXN011,Transfer from Client Payment,"1,200,000.00",0,"5,826,000.00"
2024-01-19 09:45:00,TXN012,Utility Bill - Electricity,0,"65,000.00","5,761,000.00"
2024-01-19 11:20:00,TXN013,Purchase at Ocean Supermart,0,"125,000.00","5,636,000.00"
2024-01-19 15:00:00,TXN014,Netflix Subscription,0,"15,000.00","5,621,000.00"
2024-01-20 08:30:00,TXN015,Commission from Sales,"350,000.00",0,"5,971,000.00"
2024-01-20 12:45:00,TXN016,Lunch at Thai Restaurant,0,"28,000.00","5,943,000.00"
2024-01-20 17:00:00,TXN017,Fuel at Petrol Station,0,"45,000.00","5,898,000.00"
2024-01-21 10:15:00,TXN018,Transfer to Ma Thandar,0,"100,000.00","5,798,000.00"
2024-01-21 14:30:00,TXN019,Medical Checkup at City Clinic,0,"80,000.00","5,718,000.00"
2024-01-22 09:00:00,TXN020,Bank Transfer Deposit,"2,000,000.00",0,"7,718,000.00"
